joseph@email.com,0,5095
maria@email.com,1,13444
thomas@email.com,0,1701
elizabeth@email.com,0,26282
patricia@email.com,1,77397
dorothy@email.com,1,3264
margaret@email.com,0,47514
john@email.com,1,12496
barbra@email.com,0,78312
mary@email.com,0,56274
jennifer@email.com,0,12341
linda@email.com,0,90801
charles@email.com,0,29340
michael@email.com,0,80097
richard@email.com,0,66974
david@email.com,0,43003
william@email.com,0,65525
susan@email.com,1,93025
james@email.com,1,60386
robert@email.com,1,83796
